mode,p,run_id,nx,ny,t_end,wall_seconds
serial,1,1,500,197,0.0011741,228.545
serial,1,2,500,197,0.0011741,226.862
serial,1,3,500,197,0.0011741,232.203
serial,1,4,500,197,0.0011741,228.727
serial,1,5,500,197,0.0011741,229.26
omp,1,1,500,197,0.0011741,234.632
omp,1,2,500,197,0.0011741,232.928
omp,1,3,500,197,0.0011741,234.77
