x,y,rho,u,v,p
0.000225,0.0002258883249,1.822361026,99.05348078,2.270975129,165004.8038
0.000675,0.0002258883249,1.821373377,99.24706785,2.26944122,164879.5973
0.001125,0.0002258883249,1.820734585,99.37434548,2.266658188,164798.638
0.001575,0.0002258883249,1.820145194,99.49356401,2.263111744,164723.9435
0.002025,0.0002258883249,1.819603051,99.60541303,2.260025487,164655.251
0.002475,0.0002258883249,1.819101874,99.71087653,2.258911494,164591.7517
0.002925,0.0002258883249,1.818637253,99.81113895,2.259915034,164532.8946
0.003375,0.0002258883249,1.818204055,99.90728006,2.262747037,164478.0209
0.003825,0.0002258883249,1.817796458,100.000428,2.266069523,164426.3925
0.004275,0.0002258883249,1.817407522,100.0916111,2.267173174,164377.1318
0.004725,0.0002258883249,1.817032566,100.1815645,2.265984273,164329.6456
0.005175,0.0002258883249,1.816668592,100.2712625,2.263603624,164283.5513
0.005625,0.0002258883249,1.816311683,100.3611994,2.260038599,164238.36
0.006075,0.0002258883249,1.815961904,100.4512263,2.254394447,164194.0807
0.006525,0.0002258883249,1.815622148,100.5408152,2.246122759,164151.0592
0.006975,0.0002258883249,1.815293805,100.6294266,2.235608376,164109.5027
0.007425,0.0002258883249,1.814978145,100.7167649,2.222468107,164069.5411
0.007875,0.0002258883249,1.814674935,100.8026391,2.205307036,164031.1418
0.008325,0.0002258883249,1.81438313,100.886957,2.183202396,163994.1863
0.008775,0.0002258883249,1.814101972,100.9698143,2.156751998,163958.5692
0.009225,0.0002258883249,1.813829866,101.0512988,2.127600965,163924.0902
0.009675,0.0002258883249,1.813564611,101.1314834,2.096898801,163890.4807
0.010125,0.0002258883249,1.813302885,101.2105511,2.069950013,163857.399
0.010575,0.0002258883249,1.813046058,101.2890724,2.051832423,163824.8914
0.011025,0.0002258883249,1.812793203,101.3667602,2.046165468,163792.7868
0.011475,0.0002258883249,1.812542766,101.4433546,2.050794338,163760.6293
0.011925,0.0002258883249,1.812295495,101.5188944,2.071929391,163728.4737
0.012375,0.0002258883249,1.812050066,101.5936844,2.11581029,163696.2482
0.012825,0.0002258883249,1.811804716,101.6677975,2.183100684,163664.0304
0.013275,0.0002258883249,1.811558123,101.7413608,2.272103339,163631.7551
0.013725,0.0002258883249,1.81130812,101.8143449,2.360176679,163599.2932
0.014175,0.0002258883249,1.811054775,101.8864855,2.417974741,163566.7396
0.014625,0.0002258883249,1.810798937,101.9576736,2.452313012,163534.1558
0.015075,0.0002258883249,1.810542441,102.0277095,2.472402952,163501.655
0.015525,0.0002258883249,1.810288051,102.0964572,2.483038644,163469.3761
0.015975,0.0002258883249,1.810037787,102.1642093,2.48566486,163437.5338
