x,y,rho,u,v,p
0.000225,0.0002258883249,1.772621999,111.1352234,0.01621327925,158735.1655
0.000675,0.0002258883249,1.772686625,111.1223149,0.01621364216,158743.2675
0.001125,0.0002258883249,1.772731248,111.1134018,0.01621549133,158748.8618
0.001575,0.0002258883249,1.772776249,111.104413,0.0162233579,158754.5035
0.002025,0.0002258883249,1.772821273,111.0954187,0.0162404248,158760.1482
0.002475,0.0002258883249,1.772866704,111.0863419,0.01627062676,158765.844
0.002925,0.0002258883249,1.772912346,111.0772211,0.01631605514,158771.5663
0.003375,0.0002258883249,1.772958626,111.0679706,0.01637834511,158777.3686
0.003825,0.0002258883249,1.77300543,111.0586121,0.0164575905,158783.2368
0.004275,0.0002258883249,1.773053042,111.0490888,0.01655345224,158789.2063
0.004725,0.0002258883249,1.773101156,111.0394609,0.01666486468,158795.2389
0.005175,0.0002258883249,1.773149765,111.0297301,0.01679100624,158801.3335
0.005625,0.0002258883249,1.773198476,111.0199748,0.01693140455,158807.441
0.006075,0.0002258883249,1.773247276,111.0101992,0.01708595175,158813.5598
0.006525,0.0002258883249,1.773296053,111.0004222,0.01725600268,158819.6757
0.006975,0.0002258883249,1.773344936,110.990621,0.01744191549,158825.8051
0.007425,0.0002258883249,1.773393907,110.9808002,0.01764536539,158831.9454
0.007875,0.0002258883249,1.77344295,110.9709649,0.0178662013,158838.0949
0.008325,0.0002258883249,1.773491887,110.9611504,0.01810760564,158844.2312
0.008775,0.0002258883249,1.773540662,110.9513679,0.01837588062,158850.3472
0.009225,0.0002258883249,1.773589181,110.941636,0.01867963384,158856.4313
0.009675,0.0002258883249,1.773637357,110.9319739,0.01902774202,158862.4723
0.010125,0.0002258883249,1.773685104,110.922398,0.01942734806,158868.4597
0.010575,0.0002258883249,1.773732361,110.9129199,0.0198822421,158874.3857
0.011025,0.0002258883249,1.773779094,110.9035464,0.02039200675,158880.246
0.011475,0.0002258883249,1.773825298,110.8942791,0.02095203747,158886.0401
0.011925,0.0002258883249,1.773870992,110.8851149,0.02155470629,158891.7702
0.012375,0.0002258883249,1.773916208,110.8760479,0.02219094267,158897.4405
0.012825,0.0002258883249,1.773960986,110.8670708,0.02285176953,158903.0558
0.013275,0.0002258883249,1.774005364,110.8581766,0.02352880853,158908.621
0.013725,0.0002258883249,1.774049375,110.8493598,0.02421496975,158914.1403
0.014175,0.0002258883249,1.774093046,110.8406157,0.02490510373,158919.6169
0.014625,0.0002258883249,1.774136399,110.8319406,0.02559553953,158925.0538
0.015075,0.0002258883249,1.774179459,110.8233304,0.02628079478,158930.4539
0.015525,0.0002258883249,1.774222255,110.8147793,0.02696001228,158935.8209
0.015975,0.0002258883249,1.774264828,110.8062799,0.02763292811,158941.1601
0.016425,0.0002258883249,1.774307228,110.7978231,0.028299074,158946.4776
0.016875,0.0002258883249,1.774349507,110.789399,0.02895921838,158951.78
