x,y,rho,u,v,p
0.000225,0.0002258883249,1.80021786,106.1152923,-0.4442592304,162205.5299
0.000675,0.0002258883249,1.799900726,106.1778135,-0.4440973552,162165.5253
0.001125,0.0002258883249,1.799683984,106.2203003,-0.4438434821,162138.1836
0.001575,0.0002258883249,1.79946791,106.2625238,-0.4435450523,162110.9262
0.002025,0.0002258883249,1.799251972,106.3045056,-0.4431589408,162083.6884
0.002475,0.0002258883249,1.799036013,106.3462916,-0.4424163812,162056.4492
0.002925,0.0002258883249,1.798820003,106.3879124,-0.4411329435,162029.2048
0.003375,0.0002258883249,1.798603983,106.4293676,-0.4392920036,162001.959
0.003825,0.0002258883249,1.798388087,106.4706291,-0.4369469708,161974.7294
0.004275,0.0002258883249,1.798172527,106.5116676,-0.4341958548,161947.546
0.004725,0.0002258883249,1.797957597,106.5524619,-0.4311488651,161920.4464
0.005175,0.0002258883249,1.797743707,106.5929871,-0.4279255581,161893.4729
0.005625,0.0002258883249,1.797530994,106.6331689,-0.42460301,161866.6486
0.006075,0.0002258883249,1.797319941,106.6729686,-0.421430605,161840.0331
0.006525,0.0002258883249,1.797111074,106.7123523,-0.4187798565,161813.6994
0.006975,0.0002258883249,1.796904647,106.7512322,-0.4168654809,161787.6772
0.007425,0.0002258883249,1.796701022,106.7895355,-0.41619102,161762.0018
0.007875,0.0002258883249,1.796500302,106.8272421,-0.4165890448,161736.6964
0.008325,0.0002258883249,1.796303344,106.8644725,-0.4184654848,161711.8619
0.008775,0.0002258883249,1.796108991,106.9010732,-0.4224698611,161687.3533
0.009225,0.0002258883249,1.795917724,106.937204,-0.4276998494,161663.238
0.009675,0.0002258883249,1.795728689,106.9729261,-0.4293648509,161639.4121
0.010125,0.0002258883249,1.795541915,107.0082922,-0.4292855146,161615.8708
0.010575,0.0002258883249,1.795357396,107.0433807,-0.4283865847,161592.6152
0.011025,0.0002258883249,1.795174862,107.078224,-0.426398441,161569.6062
0.011475,0.0002258883249,1.794994061,107.1128298,-0.4232272552,161546.8192
0.011925,0.0002258883249,1.794814864,107.1471956,-0.418904066,161524.2307
0.012375,0.0002258883249,1.794637164,107.1813313,-0.4136202002,161501.8309
0.012825,0.0002258883249,1.794460884,107.2152474,-0.4077193169,161479.6117
0.013275,0.0002258883249,1.794285997,107.2489417,-0.4020214352,161457.5668
0.013725,0.0002258883249,1.794112576,107.2824119,-0.3967379809,161435.7041
0.014175,0.0002258883249,1.793940605,107.315622,-0.3915774139,161414.0288
0.014625,0.0002258883249,1.793770527,107.3485592,-0.3864377064,161392.5832
