x,y,rho,u,v,p
0.000225,0.0002258883249,1.772457622,111.2568272,-0.07261886006,158714.5598
0.000675,0.0002258883249,1.772419203,111.2644966,-0.07258261935,158709.7436
0.001125,0.0002258883249,1.772395177,111.2692744,-0.07250347001,158706.7316
0.001575,0.0002258883249,1.77237296,111.2736766,-0.0723819339,158703.9463
0.002025,0.0002258883249,1.772352528,111.2777071,-0.07222034775,158701.3848
0.002475,0.0002258883249,1.772333829,111.2813746,-0.07202113033,158699.0407
0.002925,0.0002258883249,1.772316791,111.2846932,-0.07178502171,158696.9047
0.003375,0.0002258883249,1.772301328,111.2876791,-0.071510342,158694.9662
0.003825,0.0002258883249,1.772287355,111.2903492,-0.07119387935,158693.2144
0.004275,0.0002258883249,1.772274796,111.2927183,-0.07083307878,158691.64
0.004725,0.0002258883249,1.772263588,111.2947993,-0.07042811054,158690.2348
0.005175,0.0002258883249,1.772253669,111.2966039,-0.06998216754,158688.9913
0.005625,0.0002258883249,1.772244985,111.2981432,-0.06949930082,158687.9025
0.006075,0.0002258883249,1.772237478,111.2994284,-0.06898075095,158686.9613
0.006525,0.0002258883249,1.772231098,111.3004698,-0.06842192131,158686.1614
0.006975,0.0002258883249,1.772225802,111.301276,-0.06781192079,158685.4974
0.007425,0.0002258883249,1.772221547,111.3018567,-0.06713621095,158684.9638
0.007875,0.0002258883249,1.772218265,111.3022263,-0.0663819527,158684.5522
0.008325,0.0002258883249,1.772215799,111.3023985,-0.06554533631,158684.2438
0.008775,0.0002258883249,1.772214392,111.3023496,-0.06461734011,158684.0682
0.009225,0.0002258883249,1.772214027,111.3020977,-0.06360474079,158684.0206
0.009675,0.0002258883249,1.772214356,111.3017196,-0.06251963909,158684.0593
0.010125,0.0002258883249,1.772215562,111.3011281,-0.06137970979,158684.2124
0.010575,0.0002258883249,1.772218427,111.3001942,-0.06019806277,158684.5719
0.011025,0.0002258883249,1.772223412,111.2988251,-0.05898684797,158685.1964
0.011475,0.0002258883249,1.772230615,111.2969988,-0.05775477121,158686.0993
0.011925,0.0002258883249,1.772239822,111.2947611,-0.0565074287,158687.2534
0.012375,0.0002258883249,1.772250644,111.2921924,-0.05524926325,158688.6099
0.012825,0.0002258883249,1.772262754,111.2893598,-0.05398430275,158690.1277
0.013275,0.0002258883249,1.772276084,111.2862782,-0.05271723367,158691.7986
0.013725,0.0002258883249,1.772290831,111.28291,-0.05145078685,158693.647
0.014175,0.0002258883249,1.77230731,111.2791932,-0.05020154512,158695.7125
0.014625,0.0002258883249,1.772325887,111.2750559,-0.04898044625,158698.0411
0.015075,0.0002258883249,1.772346861,111.2704389,-0.04779188864,158700.6701
0.015525,0.0002258883249,1.772370368,111.2653149,-0.04663068254,158703.6168
0.015975,0.0002258883249,1.77239621,111.2597235,-0.0454982161,158706.8562
0.016425,0.0002258883249,1.772423878,111.253766,-0.04439042958,158710.3245
0.016875,0.0002258883249,1.772452856,111.2475453,-0.04329537658,158713.9569
0.017325,0.0002258883249,1.772482886,111.2411124,-0.04220664715,158717.7213
0.017775,0.0002258883249,1.772513972,111.234466,-0.04113222132,158721.6182
0.018225,0.0002258883249,1.772546192,111.2275899,-0.04008568219,158725.6571
0.018675,0.0002258883249,1.772579589,111.2204746,-0.03906971123,158729.8437
0.019125,0.0002258883249,1.772614145,111.2131235,-0.03808771227,158734.1757
0.019575,0.0002258883249,1.772649764,111.2055557,-0.0371356105,158738.6409
0.020025,0.0002258883249,1.772686281,111.1978045,-0.03620507126,158743.2188
0.020475,0.0002258883249,1.772723533,111.1899039,-0.03529686072,158747.8887
0.020925,0.0002258883249,1.772761446,111.1818699,-0.03441137928,158752.6416
0.021375,0.0002258883249,1.772800097,111.1736889,-0.03354487065,158757.487
0.021825,0.0002258883249,1.772839652,111.1653293,-0.032698922,158762.4458
0.022275,0.0002258883249,1.77288018,111.1567785,-0.03185910475,158767.5266
0.022725,0.0002258883249,1.772921553,111.1480619,-0.03102092052,158772.7135
0.023175,0.0002258883249,1.772963471,111.1392398,-0.03021435647,158777.9687
0.023625,0.0002258883249,1.773005615,111.130375,-0.02946208488,158783.2523
0.024075,0.0002258883249,1.773047784,111.1215078,-0.02877105664,158788.539
0.024525,0.0002258883249,1.773089985,111.1126355,-0.02814005526,158793.8297
0.024975,0.0002258883249,1.773132381,111.1037251,-0.02755671226,158799.1449
0.025425,0.0002258883249,1.773175169,111.0947365,-0.02703027793,158804.5093
0.025875,0.0002258883249,1.773218445,111.0856509,-0.02654164427,158809.9347
0.026325,0.0002258883249,1.773262172,111.0764754,-0.02613151325,158815.417
0.026775,0.0002258883249,1.773306252,111.0672307,-0.02577784221,158820.9436
0.027225,0.0002258883249,1.773350611,111.0579324,-0.02548179326,158826.5051
0.027675,0.0002258883249,1.773395255,111.0485797,-0.02528944467,158832.1026
0.028125,0.0002258883249,1.773440242,111.0391618,-0.02515605832,158837.7433
0.028575,0.0002258883249,1.773485657,111.029665,-0.02506348728,158843.4376
0.029025,0.0002258883249,1.773531494,111.0200876,-0.02505490457,158849.1849
0.029475,0.0002258883249,1.773577811,111.0104193,-0.02509195044,158854.9925
0.029925,0.0002258883249,1.773624464,111.0006892,-0.02517837602,158860.8422
0.030375,0.0002258883249,1.773671416,110.9909046,-0.02531477663,158866.7294
0.030825,0.0002258883249,1.773718589,110.9810808,-0.02549809109,158872.6443
0.031275,0.0002258883249,1.773766009,110.9712121,-0.02572754609,158878.5904
0.031725,0.0002258883249,1.773813554,110.9613224,-0.0260070844,158884.552
0.032175,0.0002258883249,1.773860982,110.9514629,-0.02634444359,158890.4991
0.032625,0.0002258883249,1.773908242,110.9416424,-0.02674736987,158896.4252
0.033075,0.0002258883249,1.773955276,110.9318717,-0.02722309848,158902.323
0.033525,0.0002258883249,1.774002015,110.9221632,-0.02777774221,158908.1839
0.033975,0.0002258883249,1.774048387,110.91253,-0.02841673348,158913.9986
0.034425,0.0002258883249,1.774094323,110.902984,-0.02914564777,158919.7588
0.034875,0.0002258883249,1.774139765,110.893536,-0.02997032195,158925.4569
0.035325,0.0002258883249,1.774184659,110.8841957,-0.03089648945,158931.0864
0.035775,0.0002258883249,1.774228959,110.8749721,-0.03192920045,158936.6414
0.036225,0.0002258883249,1.774272626,110.8658731,-0.03307221021,158942.117
0.036675,0.0002258883249,1.774315626,110.856906,-0.03432739369,158947.5091
0.037125,0.0002258883249,1.774357937,110.8480762,-0.03569416949,158952.8147
0.037575,0.0002258883249,1.774399547,110.8393872,-0.03716907549,158958.0324
0.038025,0.0002258883249,1.774440458,110.8308393,-0.03874571237,158963.1624
0.038475,0.0002258883249,1.774480691,110.822429,-0.04041523965,158968.2073
0.038925,0.0002258883249,1.774520283,110.8141495,-0.04216748343,158973.1719
0.039375,0.0002258883249,1.774559288,110.8059908,-0.04399255403,158978.0629
0.039825,0.0002258883249,1.774597771,110.797941,-0.04588274446,158982.8884
0.040275,0.0002258883249,1.774635801,110.7899871,-0.04783405862,158987.657
0.040725,0.0002258883249,1.774673446,110.7821166,-0.04984702171,158992.3773
0.041175,0.0002258883249,1.774710771,110.7743175,-0.0519265258,158997.0574
0.041625,0.0002258883249,1.774747834,110.7665791,-0.0540808199,159001.7048
0.042075,0.0002258883249,1.774784687,110.7588921,-0.05631998447,159006.3258
0.042525,0.0002258883249,1.774821377,110.7512482,-0.05865438237,159010.9263
0.042975,0.0002258883249,1.774857943,110.7436403,-0.0610934118,159015.5113
0.043425,0.0002258883249,1.774894423,110.7360623,-0.06364465534,159020.0855
0.043875,0.0002258883249,1.774930845,110.7285095,-0.0663133878,159024.6524
0.044325,0.0002258883249,1.774967233,110.7209786,-0.06910248911,159029.215
0.044775,0.0002258883249,1.775003601,110.7134676,-0.07201288582,159033.7752
0.045225,0.0002258883249,1.775039964,110.7059753,-0.07504458237,159038.3349
0.045675,0.0002258883249,1.775076347,110.6984983,-0.0781982801,159042.8968
0.046125,0.0002258883249,1.775112783,110.6910306,-0.08147596793,159047.4654
0.046575,0.0002258883249,1.775149309,110.6835649,-0.08488074515,159052.0452
0.047025,0.0002258883249,1.775185906,110.676103,-0.0884200334,159056.634
0.047475,0.0002258883249,1.775222463,110.6686735,-0.09210145898,159061.2174
0.047925,0.0002258883249,1.775258869,110.6612945,-0.09593542098,159065.7821
0.048375,0.0002258883249,1.775295043,110.6539817,-0.09993627031,159070.3175
0.048825,0.0002258883249,1.77533091,110.6467489,-0.1041218727,159074.8144
0.049275,0.0002258883249,1.77536642,110.6396063,-0.1085135397,159079.2663
0.049725,0.0002258883249,1.775401558,110.6325568,-0.1131354522,159083.6713
