x,y,rho,u,v,p
0.000225,0.0002258883249,1.775107965,110.6329944,0.07430444691,159009.6576
0.000675,0.0002258883249,1.775103271,110.6332906,0.07571245674,159009.0881
0.001125,0.0002258883249,1.77510467,110.6319318,0.07868567889,159009.221
0.001575,0.0002258883249,1.775119907,110.6268481,0.08266029283,159011.1538
0.002025,0.0002258883249,1.775168076,110.6146246,0.08715587449,159017.1994
0.002475,0.0002258883249,1.775272088,110.5912045,0.09049114742,159030.2409
0.002925,0.0002258883249,1.775462668,110.5512995,0.08947849243,159054.1442
0.003375,0.0002258883249,1.775776177,110.4885559,0.08380136473,159093.467
0.003825,0.0002258883249,1.776253407,110.3956054,0.071048118,159153.3279
0.004275,0.0002258883249,1.776929745,110.2658229,0.04954605509,159238.1758
0.004725,0.0002258883249,1.777827974,110.0942273,0.01815312254,159350.8826
0.005175,0.0002258883249,1.778948693,109.8790229,-0.0232439327,159491.5396
0.005625,0.0002258883249,1.780260021,109.6228214,-0.07071675997,159656.165
0.006075,0.0002258883249,1.78168648,109.3321667,-0.1114169748,159835.3248
0.006525,0.0002258883249,1.783038581,109.0370421,-0.1213272083,160005.1703
0.006975,0.0002258883249,1.784053541,108.7699884,-0.08014945683,160132.7213
0.007425,0.0002258883249,1.784547225,108.5627569,0.02259820554,160194.7442
0.007875,0.0002258883249,1.784474112,108.3989995,0.2046268572,160184.8985
0.008325,0.0002258883249,1.783675598,108.310323,0.4938474016,160086.0503
0.008775,0.0002258883249,1.781979807,108.3155038,0.9118459353,159873.3089
0.009225,0.0002258883249,1.779337137,108.422804,1.461440475,159542.1727
0.009675,0.0002258883249,1.775753978,108.631933,2.14460418,159093.4201
0.010125,0.0002258883249,1.771374007,108.9245721,2.948067078,158545.3292
0.010575,0.0002258883249,1.766500343,109.2688492,3.820368824,157936.3405
0.011025,0.0002258883249,1.761497296,109.6268056,4.711946169,157311.8875
0.011475,0.0002258883249,1.75665058,109.9556242,5.593794736,156707.7313
0.011925,0.0002258883249,1.752067799,110.247971,6.445912063,156137.2381
0.012375,0.0002258883249,1.7477851,110.5000073,7.259832196,155604.747
0.012825,0.0002258883249,1.743827487,110.7116355,8.034253079,155113.09
0.013275,0.0002258883249,1.74018658,110.8817842,8.768651553,154661.2905
0.013725,0.0002258883249,1.736854143,111.0100087,9.463569514,154248.364
0.014175,0.0002258883249,1.733824244,111.0971129,10.11966868,153873.6247
0.014625,0.0002258883249,1.731079111,111.1445988,10.73622234,153535.5526
0.015075,0.0002258883249,1.728583832,111.1555442,11.31459673,153231.8914
0.015525,0.0002258883249,1.726305814,111.1329034,11.85765128,152959.1699
0.015975,0.0002258883249,1.724173578,111.0792612,12.36651666,152714.2934
0.016425,0.0002258883249,1.722048326,110.9994143,12.83978346,152496.61
0.016875,0.0002258883249,1.71986994,110.8925266,13.27732322,152303.896
0.017325,0.0002258883249,1.717573378,110.7598484,13.68119614,152135.8411
0.017775,0.0002258883249,1.715312835,110.6061635,14.05194517,151993.5445
0.018225,0.0002258883249,1.71338101,110.4268858,14.3949451,151870.3233
0.018675,0.0002258883249,1.711902321,110.2238602,14.70644321,151765.2432
0.019125,0.0002258883249,1.710929902,110.0052456,14.97620301,151678.6744
0.019575,0.0002258883249,1.71048442,109.7713726,15.22698622,151604.0042
0.020025,0.0002258883249,1.710595793,109.5217599,15.44153852,151540.3416
0.020475,0.0002258883249,1.710948114,109.2665722,15.62433068,151491.771
0.020925,0.0002258883249,1.711479524,108.9967987,15.7764322,151453.7631
0.021375,0.0002258883249,1.7120189,108.7080557,15.89838939,151429.4789
0.021825,0.0002258883249,1.712492788,108.3995756,15.98861139,151423.1289
0.022275,0.0002258883249,1.712903042,108.0732207,16.05053555,151434.2372
0.022725,0.0002258883249,1.713276436,107.7364804,16.08233589,151457.5978
0.023175,0.0002258883249,1.713621172,107.3944618,16.07736947,151485.7938
0.023625,0.0002258883249,1.713928827,107.0556912,16.05315612,151512.8299
0.024075,0.0002258883249,1.714163628,106.7277079,16.00575805,151532.5813
0.024525,0.0002258883249,1.71430716,106.418631,15.93679756,151543.3401
0.024975,0.0002258883249,1.714376536,106.1251344,15.84656624,151546.8446
0.025425,0.0002258883249,1.714428846,105.8344391,15.73285071,151549.0184
0.025875,0.0002258883249,1.714538919,105.536842,15.59006214,151558.3243
0.026325,0.0002258883249,1.7147177,105.2323286,15.41499148,151577.6794
0.026775,0.0002258883249,1.714980479,104.9178851,15.20553894,151609.6505
0.027225,0.0002258883249,1.71541065,104.5786907,14.96015951,151661.5569
0.027675,0.0002258883249,1.715843575,104.2445034,14.68444234,151713.9757
0.028125,0.0002258883249,1.716254487,103.9220656,14.37994743,151764.3801
0.028575,0.0002258883249,1.716655952,103.6079172,14.04564955,151813.8798
0.029025,0.0002258883249,1.71707835,103.2984049,13.67958671,151865.7101
0.029475,0.0002258883249,1.717551519,102.9880443,13.2797746,151923.7443
0.029925,0.0002258883249,1.71809001,102.6742531,12.84522967,151990.0308
0.030375,0.0002258883249,1.718682717,102.3592222,12.37687316,152063.401
0.030825,0.0002258883249,1.719305897,102.0476656,11.87633065,152140.9399
0.031275,0.0002258883249,1.719937049,101.7440139,11.34501781,152219.7477
0.031725,0.0002258883249,1.720565325,101.4509151,10.78407891,152298.3587
0.032175,0.0002258883249,1.721192259,101.1691433,10.19480115,152376.8714
0.032625,0.0002258883249,1.721827875,100.8982872,9.57796673,152456.4637
0.033075,0.0002258883249,1.722487681,100.6371943,8.932762211,152538.9837
0.033525,0.0002258883249,1.723193454,100.3838901,8.256433211,152627.0673
0.033975,0.0002258883249,1.723973264,100.1355662,7.545426527,152724.1738
0.034425,0.0002258883249,1.724856331,99.88925106,6.797002051,152833.9712
0.034875,0.0002258883249,1.725863733,99.64321274,6.010123184,152959.1788
0.035325,0.0002258883249,1.727000289,99.3984152,5.18552355,153100.496
0.035775,0.0002258883249,1.728252818,99.15899595,4.32533982,153256.3059
0.036225,0.0002258883249,1.729596844,98.93113045,3.432715132,153423.4921
0.036675,0.0002258883249,1.731008209,98.72091724,2.51145147,153598.9289
0.037125,0.0002258883249,1.732470752,98.53301865,1.565032579,153780.5174
0.037575,0.0002258883249,1.733983217,98.37006236,0.5950577714,153968.1106
0.038025,0.0002258883249,1.735563343,98.23325149,-0.3993770099,154164.0326
0.038475,0.0002258883249,1.737265217,98.12300141,-1.422744307,154375.2296
0.038925,0.0002258883249,1.739071339,98.03859465,-2.474346341,154599.8038
0.039375,0.0002258883249,1.7410303,97.97856379,-3.545770787,154843.3922
0.039825,0.0002258883249,1.743176979,97.94060692,-4.642029732,155110.4906
0.040275,0.0002258883249,1.745531376,97.92621654,-5.768445717,155403.6995
0.040725,0.0002258883249,1.748098619,97.94160079,-6.923543359,155723.708
0.041175,0.0002258883249,1.750879677,97.99496843,-8.104390242,156070.6974
0.041625,0.0002258883249,1.753882082,98.09402748,-9.308099344,156445.6725
0.042075,0.0002258883249,1.75712492,98.24376947,-10.5323345,156851.0788
0.042525,0.0002258883249,1.760632083,98.44738769,-11.77561113,157289.971
0.042975,0.0002258883249,1.764428199,98.70799653,-13.03741168,157765.5171
0.043425,0.0002258883249,1.768544088,99.02868752,-14.31817171,158281.67
0.043875,0.0002258883249,1.773023308,99.41141429,-15.61838094,158843.9762
