x,y,rho,u,v,p
0.000225,0.0002258883249,1.823354536,102.8421782,-1.713631756,165131.3369
0.000675,0.0002258883249,1.823010235,102.9086136,-1.708785867,165087.6816
0.001125,0.0002258883249,1.822739589,102.955179,-1.701371139,165053.3636
0.001575,0.0002258883249,1.822428336,103.0074769,-1.692576544,165013.8988
0.002025,0.0002258883249,1.822089445,103.0625477,-1.682251814,164970.9325
0.002475,0.0002258883249,1.82171536,103.1218274,-1.668473329,164923.508
0.002925,0.0002258883249,1.821307385,103.1853109,-1.650231573,164871.7908
0.003375,0.0002258883249,1.820871514,103.252115,-1.627681314,164816.5414
0.003825,0.0002258883249,1.820411332,103.3218676,-1.601631007,164758.2148
0.004275,0.0002258883249,1.819932312,103.3938786,-1.573045899,164697.5058
0.004725,0.0002258883249,1.819439613,103.467489,-1.542749587,164635.069
0.005175,0.0002258883249,1.81893758,103.5421279,-1.511358149,164571.4561
0.005625,0.0002258883249,1.818431893,103.6170415,-1.479322417,164507.3844
0.006075,0.0002258883249,1.817926474,103.6914637,-1.446759586,164443.3559
0.006525,0.0002258883249,1.817422345,103.7653451,-1.413664047,164379.4982
0.006975,0.0002258883249,1.816920104,103.8386806,-1.380053065,164315.8877
0.007425,0.0002258883249,1.816420341,103.9114017,-1.346108239,164252.6002
0.007875,0.0002258883249,1.815923284,103.9834338,-1.312041432,164189.6646
0.008325,0.0002258883249,1.815429164,104.0547538,-1.278408672,164127.1083
0.008775,0.0002258883249,1.814938253,104.1253827,-1.246034275,164064.9614
0.009225,0.0002258883249,1.814450636,104.1952371,-1.216342197,164003.2288
0.009675,0.0002258883249,1.813966446,104.2642784,-1.190080899,163941.9399
0.010125,0.0002258883249,1.813486564,104.3325362,-1.167214334,163881.1913
0.010575,0.0002258883249,1.813010593,104.3998879,-1.151219993,163820.9454
0.011025,0.0002258883249,1.812538845,104.4663727,-1.139824298,163761.2494
0.011475,0.0002258883249,1.81207081,104.5319794,-1.129039886,163702.038
0.011925,0.0002258883249,1.811606344,104.5967644,-1.117120931,163643.2879
0.012375,0.0002258883249,1.81114543,104.6608337,-1.101940332,163584.9911
0.012825,0.0002258883249,1.810687888,104.7241896,-1.082319667,163527.1217
0.013275,0.0002258883249,1.810233695,104.7867683,-1.058927071,163469.6832
0.013725,0.0002258883249,1.809783389,104.8485567,-1.033274646,163412.7436
0.014175,0.0002258883249,1.809337063,104.9094881,-1.006401946,163356.3116
0.014625,0.0002258883249,1.808894725,104.9694664,-0.9788503063,163300.3889
0.015075,0.0002258883249,1.808456127,105.0284311,-0.9509033524,163244.9518
0.015525,0.0002258883249,1.808021565,105.0864483,-0.922728742,163190.0136
0.015975,0.0002258883249,1.807590104,105.1435161,-0.8947621605,163135.4948
0.016425,0.0002258883249,1.807161753,105.1997243,-0.8671530852,163081.3606
0.016875,0.0002258883249,1.806735737,105.2551822,-0.8403128938,163027.5458
0.017325,0.0002258883249,1.806311615,105.3100071,-0.8148418405,162973.9606
0.017775,0.0002258883249,1.805888855,105.3643163,-0.7928735634,162920.5237
0.018225,0.0002258883249,1.805466827,105.4182247,-0.7747368759,162867.1722
0.018675,0.0002258883249,1.805045306,105.47182,-0.7581099733,162813.8653
0.019125,0.0002258883249,1.804623572,105.5251534,-0.7413156799,162760.5778
0.019575,0.0002258883249,1.804201346,105.5782811,-0.7233066471,162707.3262
0.020025,0.0002258883249,1.803779399,105.631254,-0.7023087451,162654.1628
0.020475,0.0002258883249,1.803359242,105.6840407,-0.6761922532,162601.1471
0.020925,0.0002258883249,1.802942527,105.7365295,-0.6429918468,162548.3628
0.021375,0.0002258883249,1.802530684,105.7885996,-0.601120326,162495.922
0.021825,0.0002258883249,1.802124072,105.8401191,-0.5491861992,162443.9262
