mode,p,run,nx,ny,wall_seconds,steps,status
serial,1,1,1000,394,883.321522426,14229,ok
omp,1,1,1000,394,850.820516023,14229,ok
omp,2,1,1000,394,433.044476707,14229,ok
omp,4,1,1000,394,238.839728472,14229,ok
omp,8,1,1000,394,147.291970435,14229,ok
omp,16,1,1000,394,129.607582637,14229,ok
mpi,1,1,1000,394,885.900742345,14229,ok
mpi,2,1,1000,394,445.489187256,14229,ok
mpi,4,1,1000,394,229.346677758,14229,ok
mpi,8,1,1000,394,122.090432042,14229,ok
mpi,16,1,1000,394,72.828503303,14229,ok
