mode,p,run,nx,ny,wall_seconds,steps,status
serial,1,1,2000,788,7367.46155607,28974,ok
omp,1,1,2000,788,6972.01429958,28974,ok
omp,2,1,2000,788,3428.25170086,28974,ok
omp,4,1,2000,788,1787.55120943,28974,ok
omp,8,1,2000,788,987.564407815,28974,ok
omp,16,1,2000,788,699.326481988,28974,ok
mpi,1,1,2000,788,8779.44732353,28974,ok
mpi,2,1,2000,788,3610.20634276,28974,ok
mpi,4,1,2000,788,1837.95894178,28974,ok
mpi,8,1,2000,788,941.9531525,28974,ok
mpi,16,1,2000,788,511.08315523,28974,ok
