mode,p,run,nx,ny,wall_seconds,steps,status
serial,1,1,1500,591,2973.23297647,21548,ok
omp,1,1,1500,591,2886.67290049,21548,ok
omp,2,1,1500,591,1449.0125871,21548,ok
omp,4,1,1500,591,776.371520045,21548,ok
omp,8,1,1500,591,445.320194823,21548,ok
omp,16,1,1500,591,360.482586671,21548,ok
mpi,1,1,1500,591,2997.92064045,21548,ok
mpi,2,1,1500,591,1524.08304607,21548,ok
mpi,4,1,1500,591,770.343614864,21548,ok
mpi,8,1,1500,591,402.807345444,21548,ok
mpi,16,1,1500,591,220.658748041,21548,ok
